C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs11646164770826376350.jpg,0
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs11646722341924611601.jpg,0
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs11577489105181609663.jpg,0
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs11653429877031093572.jpg,0
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\real\000976.jpg,1
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs11629293233199545268.jpg,0
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\real\000462.jpg,1
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs1150539667445993768.jpg,0
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\real\000921.jpg,1
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\real\000790.jpg,1
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs11640784390809572183.jpg,0
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\real\001147.jpg,1
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\real\000606.jpg,1
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\real\000091.jpg,1
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\real\000943.jpg,1
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs117402233261301689.jpg,0
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs11597344827719367674.jpg,0
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs11574420497591800106.jpg,0
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs11595140531194424297.jpg,0
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs11599741776086529459.jpg,0
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs119922461849530383.jpg,0
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\real\000411.jpg,1
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs11621142807659909577.jpg,0
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs11527504984638770872.jpg,0
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs11657690704608251379.jpg,0
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs11630714424292775760.jpg,0
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\real\000798.jpg,1
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs126384338260586398.jpg,0
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs11616541314191090420.jpg,0
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\real\000230.jpg,1
C:\Users\najwa\Downloads\smart-cartoon-pipeline-v2\data\cartoon\cs11515536662584334850.jpg,0
